ATR1120G104_Amborella_trichopoda_YAB5	Amborella
Nyth34502_Nymphaea_thermarum_YAB5	Nymphaea_thermarum
Af05G185300_Aristolochia_fimbriata_YAB2	Aristolochia_fimbriata
Aqoxy1G00610_Aquilegia_oxysepala_YAB2	Aquilegia_oxysepala
AT1G08465_Arabidopsis_thaliana_YAB2	Arabidopsis_thaliana
EL10Ac7g16274_Beta_vulgaris_YAB2	Beta_vulgaris
Phvul.011G100300_Phaseolus_vulgaris_YAB2	Phaseolus_vulgaris
Cc01_g07860_Coffea_canephora_YAB2	Coffea_canephora
PGSC0003DMG400002988_Solanum_tuberosum_YAB2	Solanum_tuberosum
GSVIVG01037533001_Vitis_vinifera_YAB2	Vitis_vinifera
Illicium_floridanum_YAB2	Illicium_floridanum
Nymphaea_colorata_YAB2	Nymphaea_colorata
Nyth27709_Nymphaea_thermarum_YAB2	Nymphaea_thermarum
ATR0697G223_Amborella_trichopoda_YAB2	Amborella
GNQG_2084490_Encephalartos_barteri_YABD	Encephalartos_barteri
LN871582_Zamia_vazquezii_YABD	Zamia_vazquezii
KAWQ_2011477_Stangeria_eriopus_YABD	Stangeria_eriopus
LN871570_Cycas_rumphii_YABD	Cycas_rumphii
FRPM_2056760_Calocedrus_decurrens_YABD	Calocedrus_decurrens
HOUF_2104850_Cryptomeria_japonica_YABD	Cryptomeria_japonica
LN871579_Podocarpus_reichei_YABD	Podocarpus_matudae_var._reichei
XTZO_2061022_Metasequoia_glyptostroboides_YABD	Metasequoia_glyptostroboides
MIXZ_2003483_Agathis_robusta_YABD	Agathis_robusta
Gnetum_gnemon_YABD	Gnetum_gnemon
VDAO_2030261_Ephedra_sinica_YABD	Ephedra_sinica
LN871572_Ephedra_distachya_YABD	Ephedra_distachya
Wm7004.a02.313.g00180_Welwitschia_mirabilis_YABD	Welwitschia_mirabilis
TOXE_2011456_Welwitschia_mirabilis_YABD	Welwitschia_mirabilis
LN871574_Ginkgo_biloba_YABD	Ginkgo_biloba
LN871573_Ginkgo_biloba_YABD	Ginkgo_biloba
LN871571_Ephedra_distachya_YABB	Ephedra_distachya
SRX7580805_Ephedra_sinica_YABB	Ephedra_sinica
MFTM_2008724_Pinus_jeffreyi_YABB	Pinus_jeffreyi
DZQM_2011000_Pinus_radiata_YABB	Pinus_radiata
MT557804_Cathaya_argyrophylla_YABB	Cathaya_argyrophylla
MT557798_Picea_abies_YABB	Picea_abies
MT557805_Pseudotsuga_menziesii_YABB	Pseudotsuga_menziesii
GAMH_2004073_Tsuga_heterophylla_YABB	Tsuga_heterophylla
AQFM_2078156_Pseudolarix_amabilis_YABB	Pseudolarix_amabilis
NKIN_2045985_Thujopsis_dolabrata_YABB	Thujopsis_dolabrata
Thupl29377238s0018_Thuja_plicata_YABB	Thuja_plicata
BUWV_2009738_Platycladus_orientalis_YABB	Platycladus_orientalis
RMMV_2005731_Callitris_macleayana_YABB	Callitris_macleayana
AUDE_2052541_Widdringtonia_cedarbergensis_YABB	Widdringtonia_cedarbergensis
YYPE_2009774_Austrocedrus_chilensis_YABB	Austrocedrus_chilensis
ETCJ_2053114_Pilgerodendron_uviferum_YABB	Pilgerodendron_uviferum
XM_057992526_Cryptomeria_japonica_YABB	Cryptomeria_japonica
SEGI_14550_Sequoiadendron_giganteum_YABB	Sequoiadendron_giganteum
EFMS_2014223_Torreya_taxifolia_YABB	Torreya_taxifolia
