
code	|	name	|	preferred name	|	taxid
1	|	nymphaea colorata	|	Nymphaea colorata	|	210225
1	|	nymphaea thermarum	|	Nymphaea thermarum	|	419125
1	|	amborella	|	Amborella	|	13332
1	|	beta vulgaris	|	Beta vulgaris	|	161934
1	|	arabidopsis thaliana	|	Arabidopsis thaliana	|	3702
1	|	erigeron canadensis	|	Erigeron canadensis	|	72917
1	|	coffea canephora	|	Coffea canephora	|	49390
1	|	phaseolus vulgaris	|	Phaseolus vulgaris	|	3885
1	|	solanum tuberosum	|	Solanum tuberosum	|	4113
1	|	vitis vinifera	|	Vitis vinifera	|	29760
1	|	illicium verum	|	Illicium verum	|	124778
3	|	heliantus	|	 	|	 
1	|	Aristolochia manshuriensis	|	 	|	158555
1	|	aristolochia fimbriata	|	Aristolochia fimbriata	|	158543
1	|	aquilegia oxysepala	|	Aquilegia oxysepala	|	432649
1	|	nymphaea colorata	|	Nymphaea colorata	|	210225
1	|	nymphaea thermarum	|	Nymphaea thermarum	|	419125
1	|	illicium floridanum	|	Illicium floridanum	|	13098
1	|	arabidopsis thaliana	|	Arabidopsis thaliana	|	3702
1	|	beta vulgaris	|	Beta vulgaris	|	161934
1	|	coffea canephora	|	Coffea canephora	|	49390
1	|	vitis vinifera	|	Vitis vinifera	|	29760
1	|	phaseolus vulgaris	|	Phaseolus vulgaris	|	3885
1	|	solanum tuberosum	|	Solanum tuberosum	|	4113
1	|	amborella	|	Amborella	|	13332
